t,query_p,query_q,query_r
11.759999999999794,-0x1.0e140b246cf96p-3,0x1.2b1c387429ec4p-4,0x1.8ebc4ef2461d8p-4
11.789999999999793,-0x1.0e140b246cf96p-3,0x1.2b1c387429ec4p-4,0x1.8ebc4ef2461d8p-4
11.819999999999792,-0x1.0e140b246cf96p-3,0x1.2b1c387429ec4p-4,0x1.8ebc4ef2461d8p-4
11.849999999999792,-0x1.0e140b246cf96p-3,0x1.2b1c387429ec4p-4,0x1.8ebc4ef2461d8p-4
11.879999999999791,-0x1.0e140b246cf96p-3,0x1.2b1c387429ec4p-4,0x1.8ebc4ef2461d8p-4
11.90999999999979,-0x1.0e140b246cf96p-3,0x1.2b1c387429ec4p-4,0x1.8ebc4ef2461d8p-4
11.93999999999979,-0x1.0e140b246cf96p-3,0x1.2b1c387429ec4p-4,0x1.8ebc4ef2461d8p-4
11.96999999999979,-0x1.0e140b246cf96p-3,0x1.2b1c387429ec4p-4,0x1.8ebc4ef2461d8p-4
11.999999999999789,-0x1.0e140b246cf96p-3,0x1.2b1c387429ec4p-4,0x1.bcd2b351ea1d8p-6
12.029999999999788,-0x1.0e140b246cf96p-3,0x1.2b1c387429ec4p-4,0x1.bcd2b351ea1d8p-6
12.059999999999787,-0x1.0e140b246cf96p-3,0x1.2b1c387429ec4p-4,0x1.bcd2b351ea1d8p-6
12.089999999999787,-0x1.0e140b246cf96p-3,0x1.2b1c387429ec4p-4,0x1.bcd2b351ea1d8p-6
12.119999999999786,-0x1.809b8bcd1b9bdp-4,0x1.2b1c387429ec4p-4,0x1.bcd2b351ea1d8p-6
12.149999999999785,-0x1.809b8bcd1b9bdp-4,0x1.2b1c387429ec4p-4,0x1.bcd2b351ea1d8p-6
12.179999999999785,-0x1.809b8bcd1b9bdp-4,0x1.2b1c387429ec4p-4,0x1.bcd2b351ea1d8p-6
12.209999999999784,-0x1.809b8bcd1b9bdp-4,0x1.51eaeae06cbfcp-4,0x1.bcd2b351ea1d8p-6
12.239999999999783,-0x1.809b8bcd1b9bdp-4,0x1.51eaeae06cbfcp-4,0x1.bcd2b351ea1d8p-6
12.269999999999783,-0x1.809b8bcd1b9bdp-4,0x1.51eaeae06cbfcp-4,0x1.bcd2b351ea1d8p-6
12.299999999999782,-0x1.809b8bcd1b9bdp-4,0x1.51eaeae06cbfcp-4,0x1.bcd2b351ea1d8p-6
12.329999999999782,-0x1.809b8bcd1b9bdp-4,0x1.51eaeae06cbfcp-4,0x1.bcd2b351ea1d8p-6
12.359999999999781,-0x1.809b8bcd1b9bdp-4,0x1.51eaeae06cbfcp-4,0x1.bcd2b351ea1d8p-6
12.38999999999978,-0x1.809b8bcd1b9bdp-4,0x1.51eaeae06cbfcp-4,0x1.bcd2b351ea1d8p-6
12.41999999999978,-0x1.809b8bcd1b9bdp-4,0x1.51eaeae06cbfcp-4,0x1.bcd2b351ea1d8p-6
12.449999999999779,-0x1.809b8bcd1b9bdp-4,0x1.51eaeae06cbfcp-4,0x1.bcd2b351ea1d8p-6
12.479999999999778,-0x1.809b8bcd1b9bdp-4,0x1.51eaeae06cbfcp-4,0x1.bcd2b351ea1d8p-6
12.509999999999778,-0x1.809b8bcd1b9bdp-4,0x1.51eaeae06cbfcp-4,0x1.bcd2b351ea1d8p-6
